ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS,MARKET_MILES_FLOWN
AK,WY,14,2635
AK,WY,16,2542
AK,WY,16,2435
AK,WY,16,2457
AK,WY,16,2457
AK,WY,16,2834
AK,WY,16,2732
AK,WY,16,2635
AK,WY,16,2635
AK,WY,16,2635
AK,WY,16,2495
AK,WY,16,2811
AK,WY,16,3129
AK,WY,16,2342
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2342
AK,WY,17,2342
AK,WY,17,1918
AK,WY,17,2795
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2457
AK,WY,17,2457
AK,WY,18,2718
AK,WY,18,3467
AK,WY,18,2785
AK,WY,18,1898
AK,WY,18,3830
AK,WY,18,3830
AK,WY,18,3715
AK,WY,18,2069
AK,WY,18,2435
AK,WY,18,2435
AK,WY,18,2457
AK,WY,19,3808
AK,WY,19,2520
AK,WY,19,2427
AK,WY,19,2635
AL,WY,11,1946
AL,WY,13,1650
AL,WY,13,1454
AL,WY,15,1474
AL,WY,15,1474
AL,WY,15,1454
AR,WY,15,1714
AZ,WY,13,832
AZ,WY,13,862
AZ,WY,13,862
AZ,WY,13,862
AZ,WY,13,915
AZ,WY,13,899
AZ,WY,13,832
AZ,WY,13,832
AZ,WY,13,832
AZ,WY,13,832
AZ,WY,13,832
AZ,WY,13,915
AZ,WY,13,805
AZ,WY,13,827
AZ,WY,13,827
AZ,WY,13,712
AZ,WY,13,712
AZ,WY,14,712
AZ,WY,14,712
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,915
AZ,WY,14,715
AZ,WY,14,715
AZ,WY,14,915
AZ,WY,15,715
AZ,WY,15,752
AZ,WY,15,827
AZ,WY,15,827
AZ,WY,17,832
AZ,WY,98,827
AZ,WY,120,827
CA,WY,13,1022
CA,WY,13,706
CA,WY,13,793
CA,WY,13,793
CA,WY,13,784
CA,WY,13,784
CA,WY,13,784
CA,WY,13,784
CA,WY,13,784
CA,WY,13,737
CA,WY,13,737
CA,WY,13,804
CA,WY,13,804
CA,WY,13,804
CA,WY,13,852
CA,WY,13,852
CA,WY,13,795
CA,WY,13,1092
CA,WY,13,908
CA,WY,13,1166
CA,WY,13,1373
CA,WY,13,793
CA,WY,13,784
CA,WY,13,795
CA,WY,13,795
CA,WY,13,831
CA,WY,13,795
CA,WY,14,784
CA,WY,14,784
CA,WY,14,804
CA,WY,14,1080
CA,WY,14,1300
CA,WY,14,804
CA,WY,14,1268
CA,WY,14,793
CA,WY,14,737
CA,WY,14,737
CA,WY,15,784
CA,WY,15,804
CA,WY,15,1280
CA,WY,15,737
CA,WY,15,894
CA,WY,15,779
CA,WY,15,1175
CA,WY,15,804
CA,WY,15,784
CA,WY,15,784
CA,WY,15,737
CA,WY,16,746
CA,WY,16,831
CA,WY,16,1197
CA,WY,16,804
CA,WY,16,795
CA,WY,16,795
CA,WY,16,784
CA,WY,16,795
CA,WY,16,795
CA,WY,16,1083
CA,WY,16,737
CA,WY,16,795
CA,WY,16,784
CA,WY,16,888
CA,WY,16,1373
CA,WY,16,1373
CA,WY,16,1373
CA,WY,16,784
CA,WY,16,784
CA,WY,17,784
CA,WY,17,763
CA,WY,17,1373
CA,WY,17,795
CA,WY,17,831
CA,WY,17,831
CA,WY,17,737
CA,WY,17,737
CA,WY,17,737
CA,WY,18,789
CA,WY,18,831
CA,WY,19,784
CA,WY,19,1252
CA,WY,19,1268
CA,WY,19,737
CA,WY,21,793
CA,WY,21,795
CA,WY,21,746
CA,WY,21,831
CA,WY,21,831
CA,WY,22,784
CA,WY,22,737
CA,WY,22,795
CA,WY,24,784
CA,WY,24,737
CA,WY,24,737
CA,WY,24,804
CA,WY,25,795
CA,WY,26,784
CA,WY,26,795
CA,WY,26,795
CA,WY,27,737
CA,WY,27,784
CA,WY,28,737
CA,WY,28,784
CA,WY,28,784
